Transaction,Address,Amount
0x515b1359781910ff33132f119abd6260b1240e9059c48ec26f8611c835830d45,0xD5B5b26521665Cb37623DCA0E49c553b41dbF076,0.00017483
0x55cee4e11bc330a24dd99dcbffbfb027bd5ac944a0c74cd05534df1b53f957bd,0xd966197B3703b886E8f2f7d040207772ACeE1147,0.00024975
0x8e8d442e430698a478cc6d4503d8788ae3ff2e0d7cccd84b623d79ad4e92054c,0x62ACc475F68254941e923958Fcad78e10A4CfF06,0.00094905
0xe1a5dc9f6bf9c78d49282710d98b431b23c02cdf1abcb0c02876f1071640b6c2,0x62ACc475F68254941e923958Fcad78e10A4CfF06,0.00094905
0x2cef71a131b838908601657b52e4f016ad068b04effd50a7848471616feb031f,0x39415255619783A2E71fcF7d8f708A951d92e1b6,0.00994005
0xb16195e696f559be44088c6a904a3dc33eee73e8b062cbea304af1351de92185,0xD5B5b26521665Cb37623DCA0E49c553b41dbF076,0.00104895
0xa50544fc0a34d54ba3cf2f68316df3520256144f655151d5f17409b6ef24fbbe,0x39415255619783A2E71fcF7d8f708A951d92e1b6,0.01593405
0x12162689485c82e7a378bb265be59edb4e2c5e461d85b814423be4dd2be2169b,0x62ACc475F68254941e923958Fcad78e10A4CfF06,0.00505263
0xe913379ad42307b905de3feb50aeb939c2c6723e0e0910e3a27217fb44f50685,0x62ACc475F68254941e923958Fcad78e10A4CfF06,0.00994005
0x0454e63a04f240c48b1743062983d8d99e0b241e8205eea943efda83457862e6,0x5b97680e165B4DbF5C45f4ff4241e85F418c66C2,0.09985005
0x306ad7c065581c897a611c235acf700ed6f73b3b5f4de42a9588db7397dcba9a,0x5b97680e165B4DbF5C45f4ff4241e85F418c66C2,1.09885005
0x3e012d8bd1f8554c40236b051da751f6cb3e8d5c42f164a9a5414d9acfd69ddd,0x36DA71103A48006879207C879e6c9eF0B006Cc9E,0.00294705
0x4f4d052d909efb33a2e9b84a1449be4152d564377a1838493fc9118a39606fa7,0xbF7D65D769E82E7B862df338223263ba33F72623,0.00034965
0xc0344d77f3f0a3c95eada51bbc811bd0d58287d1cf1119cc987686ac0f5b41e3,0xEb417bE70529D525485A9C71cE428166be86E8D2,0.00044955
0x19c6381469f758301f121c2186894cee1efb414c384792537254474e8544b038,0xB0E96399485cf77bc97f64c27DA250Ef2582A1fb,0.00084915
0xf2a29c5efaec6aae426b3675e0f5549e5c0c4f407fd5994204b0f5da7ede66b1,0xB0E96399485cf77bc97f64c27DA250Ef2582A1fb,0.00034965
0x854c2bd40ae4dae230fa5e81dd94661785d9cb4df4d8f5dd35ad6bc5177cd122,0xB8Bd8f4c420ada4D999F2619503d5aaa139eD7C2,0.01050145
0xf60c976c06a6e0bd5600d64735b6e156e2b77c07812453acddff40b754a7b3cf,0xBCff81420d024627eDd07AB9468Aff7881805D57,0.00294705
0x7d234463b7464b58f963345497d0fce6701f3ea7a9a651cf43108ed51fcd2ee6,0x60c38E6f5735EE81240e3A9857147e9438B01ba0,0.00999
0xb36c7c68daf00e5fe8451d61944b86a0991e4ca1fa1c3243d8153d37eb219db1,0x5307De8BbA0D6354E6Cd6E03Ed90426A0a4C897A,0.00094905
0xfbffbcdfb0c13dc4502b02026af27291b95aba0baf50c9112e4f406d7d4fa172,0x5307De8BbA0D6354E6Cd6E03Ed90426A0a4C897A,0.00044955
0x0197937266053b8b7f14043f84889882ea1bcbc31302b553ddfed0f45aa12cbd,0x5307De8BbA0D6354E6Cd6E03Ed90426A0a4C897A,0.00094905
0x56a956d0e20b95cbe19e8de0dc9b1feffa05d6101e4800f023a4c393d1314bc3,0x5307De8BbA0D6354E6Cd6E03Ed90426A0a4C897A,0.00094905
0xde4691cadfe8adbcdda93af05b6d6b6634a22cd116bd5b0b70d44a0782766432,0x5307De8BbA0D6354E6Cd6E03Ed90426A0a4C897A,0.00094905
0x2714ff0fd6562132f3d2400723a4bb204237783f27a50093adb7abed5db5184d,0xa6BEb644BB0c7ebaEFa020e893DE5c4d8dF02077,0.00074925
0xf7214c9d73ee485132d8747c56518e4a757f648494b32789626f0332974edb50,0x3CeA18057894e09A253409a79e8247b07331d44b,0.00094905
0x06ee9009b4c3b4bb3406f9d81bec3d18885fa26476cc63eb08c1524100a75313,0x0D2C626E4A23D6754b6a7e0e27f4F97124abF47c,0.00044955
0x6776e56c66b7e980794081409c775d36ff3cd70f19d89830c7ce83eb9f7e82aa,0xC8dDA504356195ba5344E5a9826Ce07DfEaA97b6,0.09985005
0xd1c412f6863836f22f2194ee4c459ee086300886742b54cf402cc3d9deb5d47a,0xC88E5345016E89a72bFB8B51ec2395272ADD3EFd,0.00412057
0x5be270375dd8d70bcb3a6b2c6d3d7dfcff0398a48754b99b79bef38effe53dff,0xFB87bCF203b78d9B67719b7EEa3b6B65A208961B,0.00094905
0xe1481360b3a81ad9d70731df6d3211dfddb16d4310b3f1c5da6f355779696deb,0xD5B5b26521665Cb37623DCA0E49c553b41dbF076,0.00030969
0x8585817f7ce12f0ac6e352f395ce9c709937303a9435fcb7fe54178087da33f6,0xFB87bCF203b78d9B67719b7EEa3b6B65A208961B,0.00094905
0x20d7ef3f6e65501cf40bfe68d8e8909ada73f77576096d98a29aa76ccb9530ed,0x36DA71103A48006879207C879e6c9eF0B006Cc9E,0.00164835
0x7b7cbee820e6c16c935abb26859f3be03a4ad1d53c052b86841f935b88128dbf,0x33d5aE8c393B19306E893116CaD659BEC61AFDB2,0.00964035
0x41a745cb4f840b2c95aa7bdfad28c8c7c760f5e55244fa640732bbfdd230917b,0x5a704C4BaA9295542bbcE855cb978CEBD3cADFC5,0.02262735
0xf5c616d2378da6c30b2cbd7a7d21eafad5b519d328cf3109ea64bb02065a2a53,0x9901a742e0B0873C83Eee2826b97319Ac085b94A,0.01073925
0xfdcbbb29485ff9116e5e2184002b2af416b5bc63887246b5d897c0a41a163c4a,0x33d5aE8c393B19306E893116CaD659BEC61AFDB2,0.09955035
0x39bd077fb6aec2648273e53cea691ca674dc1b0d9366979a660fa1dd35870da0,0x5a704C4BaA9295542bbcE855cb978CEBD3cADFC5,22.99999998
0xbdae56da9a3ae988a24ea27421141005be1edc29173ec0f4ffbf1c3535d0081d,0x33d5aE8c393B19306E893116CaD659BEC61AFDB2,2.99625075
0x5134f751a6687fb38fab04056fde77f24654010fcaa6103405e5312d3deecb87,0xd966197B3703b886E8f2f7d040207772ACeE1147,0.04860135
0x45044f7a90393521deb09d422203d6a3c1f4c0acef389cd73b846736d6624b25,0x36DA71103A48006879207C879e6c9eF0B006Cc9E,0.00011316
0xb0676780d76b3b3595c58249f6b5f8aceabc231b87bacb51f9a5d95db85cecff,0x68F593572402632C724bc2d2fCa05e91541269F3,0.24940035
0x1eaa68c305db42a2ec77318a1dee52c28532a3e84cf2a2b7f4fc17a6951644a8,0xD5B5b26521665Cb37623DCA0E49c553b41dbF076,0.00069131
0xecd00822b536044c770e4c8f411992e1925aba88ce038bbec61dde424d7b0086,0xD5B5b26521665Cb37623DCA0E49c553b41dbF076,0.0005994
0x38c660bfd5e29e8694d8312ba3fae7b0bcc7740e41faf5d462f41cf7487f21a3,0xF23515ac4C35b164675ba2244316Ce2b2c70C988,0.00964035
0x25c352d3e5cd6bb43a885175b028a4a00343ca072a2c4ffe9477fca7436cbf58,0xDD3b9186Da521AbE707B48B8f805Fb3Cd5EEe0EE,0.00464535
0x703411e9244382705e1e052bb2723282b2332c6e74937aba3ed8a1604393b841,0xbF7D65D769E82E7B862df338223263ba33F72623,0.00064935
0x6051b560d8aa7c0f1486a975dd4a93a1ff01df2ea6f548224d661dd9851ab64c,0x2F07cE39C53Decae179ba5E797CE98f78e7332FC,0.00064935
0x9c280ac1a7581fe6e777a91299e277c6572b97ba3303454d8e3ade8d9dd069fb,0xC4Ea2d9870e9c98B2269370eb58438B3dEeA7286,0.00964035
0x8685a971b961728e580700770bf53e1745e8719a59cdb6a39c0c6b9244d821f3,0x0035Fc5208eF989c28d47e552E92b0C507D2B318,0.00964035
0x71df6ecd2158d967ad5de4927270fae657963c79e3660f66e711c51d467beec1,0x2f71129b240080C638ac8d993BFF52169E3551c3,0.00994585
0xafdbe75bc2c31a9a0fb76bf99a7b57c6f0163343b3e1f5f703925439e07bdbf9,0x3278776fdb3a3d786c93f3BFbCDD5862aA49a7Ef,0.01063935
0x9627b90c58018a49aef658a3f7b9d42d8d006e27c1e57f9534b13933efcb8f54,0x36DA71103A48006879207C879e6c9eF0B006Cc9E,0.00064935
